titles,details,hrefs,date,reference,term,year,page,country,party,file,n_results,reference_clean,content,href_answer,reference_page,rule,directed_at
Proliferation of the grey squirrel,Question for written answer E-003431/2017to the CommissionRule 130Mireille D'Ornano (ENF),https://www.europarl.europa.eu/doceo/document/E-8-2017-003431_EN.html,19-05-2017,E-003431/2017,2014-2019,2017,21,france,Europe of Nations and Freedom Group,2014-2019_2017_france_europe-of-nations-and-freedom-group_21.html,394,E-003431_2017,"
Native to North America, the grey squirrel Scirus carolinensis was introduced into the UK at the beginning of the 20th century.
The grey squirrel, which is not native to European ecosystems, drives out the red squirrel Scirus vulgaris by depriving it of its habitat and introducing the parapoxvirus. The grey squirrel carries this virus, but is itself unaffected by it.
The proliferation of the grey squirrel also has an adverse impact on local ecosystems, in particular by depriving certain bird species of their habitat. Both these phenomena have been observed in the UK, where the red squirrel is facing imminent extinction.
In accordance with Regulation 1143/2014 of 22 October 2014 and its annex, the grey squirrel is recognised as an invasive species. Regulation 2015/736 imposes a ban on introducing it into the EU.
1. Will the Commission encourage measures to control the grey squirrel in territories where it has not yet officially become established?
2. How does the Commission assess the feasibility and, more particularly, the cost of measures to eradicate the grey squirrel in territories where it is well established, in particular in the UK?",/doceo/document/E-8-2017-003431-ASW_EN.html,E-003431-17,130,commission
no questions,no questions,no questions,no questions,no questions,1994-1999,1994,1,greece,Group of the Party of European Socialists,1994-1999_1994_greece_group-of-the-party-of-european-socialists_1.html,0,no questions,NA,NA,NA,NA,NA
Effective implementation of the refugee relocation scheme,Question for written answer E-003985/2017to the CommissionRule 130Kostas Chrysogonos (GUE/NGL),https://www.europarl.europa.eu/doceo/document/E-8-2017-003985_EN.html,15-06-2017,E-003985/2017,2014-2019,2017,12,greece,Confederal Group of the European United Left - Nordic Green Left,2014-2019_2017_greece_confederal-group-of-the-european-united-left---nordic-green-left_12.html,211,E-003985_2017,"
According to recent figures, the Council Decisions introducing temporary measures for international protection in Italy and Greece are still being poorly implemented(1). The measures include the introduction of a scheme, among others, to relocate refugees from Greece and Italy to other Member States in an effort to share and allocate proportionally the burden of migration flows in Europe(2). It is indicative that to date only about 11% of the agreed relocations have taken place(3). At the same time, the relocation scheme does not apply to asylum-seekers who arrived in Greece after 20 March 2016, even though the relevant EU decisions do not include a corresponding cut-off date(4). Under the given circumstances, those refugees are stuck in Greece, with all that implies for these suffering people and in turn, for Greece which is already facing hardship.
What steps will the Commission take to ensure that those decisions are fully implemented? 
On what basis does the Commission support not implementing the relocation scheme for refugees who arrived in Greece after 20 March 2016?
(1)OJ L 239, 15.9.2015, p.146, OJ L 248, 24.9.2015, p.80, OJ L 268, 1.10.2016, p.82, P8_TA(2015)0306, P8_TA(2015)0324, P8_TA(2016)0354(2)https://ec.europa.eu/home-affairs/sites/homeaffairs/files/what-we-do/policies/european-agenda-migration/20170516_twelfth_report_on_relocation_and_resettlement_en.pdf; https://ec.europa.eu/home-affairs/sites/homeaffairs/files/what-we-do/policies/european-agenda-migration/press-material/docs/state_of_play_-_relocation_en.pdf(3)http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+MOTION+B8-2017-0340+0+DOC+XML+V0//EN (point E)(4)http://www.eca.europa.eu/Lists/ECADocuments/SR17_6/SR_MIGRATION_HOTSPOTS_EN.pdf (par. 78); http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+MOTION+B8-2017-0340+0+DOC+XML+V0//EN (point G)",/doceo/document/E-8-2017-003985-ASW_EN.html,E-003985-17,130,commission
Creating a development bank to manage EU funds,Question for written answer E-011485/2012to the CommissionRule 117Nuno Melo (PPE),https://www.europarl.europa.eu/doceo/document/E-7-2012-011485_EN.html,17-12-2012,E-011485/2012,2009-2014,2012,2,portugal,Group of the European People's Party (Christian Democrats),2009-2014_2012_portugal_group-of-the-european-people-s-party--christian-democrats-_2.html,684,E-011485_2012,"
Given that:
—
 The proposal to create a new public bank (development bank) to manage the Common Strategic Framework (CSF), which includes the EU Structural Funds 2014‐2020, was recently tabled in Portugal;
—
 According to data from the Commission, Portugal is one of the EU countries which best plans for, absorbs and implements EU funds, using 58.4 % of the total framework (EUR 21 billion) when the EU average is 44 %.
I would ask the Commission:
How does it view the proposal to create this public bank to manage EU funds?",/doceo/document/E-7-2012-011485-ASW_EN.html,E-011485-12,117,commission
Groups hiring out mercenaries,WRITTEN QUESTION  by Hans Kronberger(NI) to the Council,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-1999-1497+0+DOC+XML+V0//EN&language=EN,01-09-1999,E-1497/1999,1999-2004,1999,4,austria,Non-attached,1999-2004_1999_austria_non-attached_4.html,38,E-1497_1999,"
There have recently been increasingly frequent reports of groups hiring out mercenaries, usually from Europe and mainly to Africa, but also to other theatres of war.
1. Is the Council aware of these activities?
2. Does the Council see action to combat such groups as a task to be performed at Union level?
3. Has the Council already taken steps to prevent such machinations? If so, what steps? If not, why not?",/sides/getAllAnswers.do?reference=E-1999-1497&language=EN,E-1497/99,NA,council
Spain-France rail link,Question for written answer E-004569/2018to the CommissionRule 130Ernest Urtasun (Verts/ALE),https://www.europarl.europa.eu/doceo/document/E-8-2018-004569_EN.html,07-09-2018,E-004569/2018,2014-2019,2018,5,spain,Group of the Greens/European Free Alliance,2014-2019_2018_spain_group-of-the-greens-european-free-alliance_5.html,154,E-004569_2018,"
The rail link connecting Spain and France is unacceptably problematic between Portbou and Cerbère and requires urgent reform. Despite the time that has elapsed since the Schengen Agreement, this rail link continues to be governed by 19th Century agreements, which make it difficult to cross the border using sustainable transport and without your own vehicle. 
French trains crossing into Spain on the (TER) 2287/5000 Narbonne-Perpignan-Cerbère/Portbou line are not permitted to carry passengers back to France. The same applies for Spanish trains returning to Spain from Cerbère. Furthermore, the train timetables do not offer a good link between these two countries and the new timetables published by SNCF have further reduced the connections. 
It is therefore urgent to improve these links, plan timetables to facilitate connections and create a Euroregional transport network that improves the existing model. 
In view of the fact that the current Portbou-Cerbère rail link breaches the principle of European integration and the advancement of sustainable transport:
1.
Is the Commission aware of this situation?
2.
What measures does it intend to take to remove the existing barriers and enable effective integration between Catalonia and Occitanie?
3.
Will it call on the two Member States to take action?
",/doceo/document/E-8-2018-004569-ASW_EN.html,E-004569-18,130,commission
Farm to Fork Strategy: exclusion of meat and dairy-related measures from the final roadmap,"Question for written answer E-003419/2020to the CommissionRule 138Francisco Guerreiro (Verts/ALE), Tilly Metz (Verts/ALE), Bas Eickhout (Verts/ALE), Yannick Jadot (Verts/ALE), Caroline Roose (Verts/ALE), Anja Hazekamp (GUE/NGL), Michal Wiezik (PPE), Sylwia Spurek (S&D), Maria Noichl (S&D), Petra De Sutter (Verts/ALE), Michèle Rivasi (Verts/ALE), Thomas Waitz (Verts/ALE), Claude Gruffat (Verts/ALE), Pär Holmgren (Verts/ALE), Alice Kuhnke (Verts/ALE), Jakop G. Dalunde (Verts/ALE), David Cormand (Verts/ALE), Nikolaj Villumsen (GUE/NGL), Malin Björk (GUE/NGL), Sarah Wiener (Verts/ALE), Klaus Buchner (Verts/ALE), Eleonora Evi (NI)",https://www.europarl.europa.eu/doceo/document/E-9-2020-003419_EN.html,08-06-2020,E-003419/2020,2019-2024,2020,3,luxembourg,The Left group in the European Parliament - GUE/NGL,2019-2024_2020_luxembourg_the-left-group-in-the-european-parliament---gue-ngl_3.html,31,E-003419_2020,"The Commission announced that the Farm to Fork Strategy would revolutionise the way we produce and consume food in the European Union. The strategy’s roadmap recognises that ‘agriculture is responsible for 10.3 % of the EU’s GHG emissions and nearly 70 % of those come from the animal sector’. In an earlier version of the strategy, leaked ahead of publication, the Commission proposed very progressive measures to change production and consumption patterns in order to curb the environmental impacts of livestock production. Nevertheless, most of these measures have not been included in the final version. Why did the Commission:1. Replace the statement that it ‘will propose to stop stimulating production or consumption of meat’ with ‘In relation to meat, that review should focus on how the EU can use its promotion programme to support the most sustainable, carbon-efficient methods of livestock production’?2. Replace ‘less meat’ with ‘less red and processed meat’ in the sentence: ‘A dietary change towards a more plant-based diet and less meat will not only reduce risk of life-threatening diseases such as cancer, but also reduce the environmental impact’?3. Exclude the extension of mandatory front-of-pack origin labelling to milk, as well as milk and meat used as ingredients?",/doceo/document/E-9-2020-003419-ASW_EN.html,E-003419/2020,138,commission
Minimum requisites for environmental impact assessments,WRITTEN QUESTION  by Rosa Miguélez Ramos (PSE) to the Commission,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2001-0792+0+DOC+XML+V0//EN&language=EN,13-03-2001,E-0792/2001,1999-2004,2001,13,spain,Group of the Party of European Socialists,1999-2004_2001_spain_group-of-the-party-of-european-socialists_13.html,149,E-0792_2001,"
On a number of occasions it has been demonstrated that many environmental impact assessments do not comply with the objectives originally sought when such studies were made compulsory for projects having environmental implications. Some undertakings which are obliged to submit such studies consider them to be a purely formal requirement - something to be performed by themselves to pay lip-service to the rules.
What is the Commission's assessment of the real usefulness of environmental impact assessments?
Does the Commission consider that these studies are meeting the objectives for which they were introduced?
Does the Commission not believe that it should introduce a proposal on the minimum criteria for environmental impact assessments, established in such a way as to ensure that they will no longer be treated by many as a purely formal requirement?",/sides/getAllAnswers.do?reference=E-2001-0792&language=EN,E-0792/01,NA,commission
WHO study on avian influenza,Question for written answer E-002798/2012to the CommissionRule 117Andreas Mölzer (NI),https://www.europarl.europa.eu/doceo/document/E-7-2012-002798_EN.html,13-03-2012,E-002798/2012,2009-2014,2012,40,austria,Non-attached Members,2009-2014_2012_austria_non-attached-members_40.html,521,E-002798_2012,"
According to a US study avian influenza virus H5N1 is less fatal than was previously assumed. At the same time, more people may have been infected than were recorded by the World Health Organisation (WHO), according to researchers at the renowned Mount Sinai School of Medicine in New York. In a study they were able to establish that people in whose blood avian influenza was found did not display any symptoms and that the illness would not necessarily occur. The Americans were therefore critical of the fact that the WHO had overlooked less serious cases of avian influenza.
1. Is the Commission aware of these research findings?
2. Are there any bodies in the EU that re-check the studies published by the WHO?
3. How many people actually fell victim to avian influenza throughout the EU?
4. Are the EU and the Member States planning an extensive information campaign on avian influenza and its actual risks?",/doceo/document/E-7-2012-002798-ASW_EN.html,E-002798/2012,117,commission
EU fishing in Western Sahara waters under the EU-Morocco Fishing Agreement,"Question for written answer E-000810/2017to the CommissionRule 130José Bové (Verts/ALE), Alyn Smith (Verts/ALE), Jill Evans (Verts/ALE), Linnéa Engström (Verts/ALE), Klaus Buchner (Verts/ALE), Bodil Valero (Verts/ALE), Max Andersson (Verts/ALE), Fabio Massimo Castaldo (EFDD), Olle Ludvigsson (S&D), Anna Hedh (S&D), Jens Nilsson (S&D), Jytte Guteland (S&D), Marita Ulvskog (S&D), Paloma López Bermejo (GUE/NGL), Ángela Vallina (GUE/NGL), João Ferreira (GUE/NGL), Takis Hadjigeorgiou (GUE/NGL), Neoklis Sylikiotis (GUE/NGL), Rina Ronja Kari (GUE/NGL), Stelios Kouloglou (GUE/NGL), Kostadinka Kuneva (GUE/NGL), Patrick Le Hyaric (GUE/NGL)",https://www.europarl.europa.eu/doceo/document/E-8-2017-000810_EN.html,03-02-2017,E-000810/2017,2014-2019,2017,7,unitedkingdom,Group of the Greens/European Free Alliance,2014-2019_2017_unitedkingdom_group-of-the-greens-european-free-alliance_7.html,74,E-000810_2017,"
The Court of Justice of the European Union ruled in Case C-104/ 16 P — Council v Front Polisario that Western Sahara is not part of the sovereign territory of Morocco and that, following the principles of self-determination and of the relative effect of treaties, the EU-Morocco Association and Liberalisation Agreements could not apply to Western Sahara without the consent of the people of Western Sahara.
The latest report of the EU-Morocco Joint Scientific Committee states that EU vessels operating under the EU-Morocco Fisheries Partnership Agreement (FPA) are mostly fishing in Sahrawi waters. Moreover, the Commission has already stated that the new Protocol to the EU-Morocco FPA applies to Western Sahara waters (E-00/7185/2013) and it has acknowledged that EU vessels fish in Sahrawi waters under this FPA (P-007594/2016 and E‐005487/2016).
Can the Commission clarify what the legal basis is, under international or EC law, for EU vessels to fish in Sahrawi waters under the EU-Morocco FPA?
Did the people of Western Sahara consent to the exploitation of their natural resources?
Does the Commission consider that the EU-Morocco FPA is being implemented in a manner that is compatible with the principles of self-determination and of the relative effect of treaties or EU obligations under international humanitarian law?
[Question supported by Members other than the author(s)(1)]
(1)Question supported by Miguel Viegas (GUE/NGL), João Pimenta Lopes (GUE/NGL).",/doceo/document/E-8-2017-000810-ASW_EN.html,E-000810-17,130,commission
The elderly,WRITTEN QUESTION  by Amedeo Amadeo(NI) to the Commission,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-1995-2625+0+DOC+XML+V0//EN&language=EN,02-10-1995,E-2625/1995,1994-1999,1995,7,italy,Non-attached,1994-1999_1995_italy_non-attached_7.html,121,E-2625_1995,"
In response to the Council's decision to support measures in favour of the elderly, the Commission has proposed a number of measures to be carried out between September 1995 and December 1999. These measures seek to provide assistance to the Member States, enabling them to meet certain challenges connected with the ageing of the population in Europe.
In view of the restricted framework of the planned Community action, and its limitations in the face of the enormous size of the problem of the elderly, will the Commission's action in favour of the elderly also find space within the framework of other Community programmes, for example in those on public health with regard to preventive measures to ensure a healthy old age, or in action in the field of transport to make it more accessible to elderly people with problems of mobility, or in actions in favour of tourism?",/sides/getAllAnswers.do?reference=E-1995-2625&language=EN,E-2625/95,NA,commission
Judicial immunity under threat in Poland,"Question for written answer E-007020/2020to the CommissionRule 138Sylwia Spurek (Verts/ALE), Patrick Breyer (Verts/ALE), Saskia Bricmont (Verts/ALE), Alviina Alametsä (Verts/ALE), Katrin Langensiepen (Verts/ALE), Magdalena Adamowicz (PPE), Giuliano Pisapia (S&D), Olivier Chastel (Renew), Konstantinos Arvanitis (GUE/NGL), Gwendoline Delbos-Corfield (Verts/ALE), Łukasz Kohut (S&D), Tineke Strik (Verts/ALE), Rosa D'Amato (Verts/ALE), Niklas Nienaß (Verts/ALE), Markéta Gregorová (Verts/ALE), Evin Incir (S&D), Michal Šimečka (Renew), Anna Júlia Donáth (Renew), Terry Reintke (Verts/ALE), Diana Riba i Giner (Verts/ALE), Marie Toussaint (Verts/ALE), Michael Bloss (Verts/ALE)",https://www.europarl.europa.eu/doceo/document/E-9-2020-007020_EN.html,22-12-2020,E-007020/2020,2019-2024,2020,1,germany,Renew Europe Group,2019-2024_2020_germany_renew-europe-group_1.html,188,E-007020_2020,"On 18 November 2020, the Polish authorities committed yet another flagrant violation of judicial independence. The so-called Disciplinary Chamber of the Supreme Court decided to revoke the immunity of Judge Igor Tuleya, suspend him from professional duties for an indefinite period and reduce his pay for the duration of the suspension. Consequently, Judge Tuleya will face criminal charges of failing to fulfill his duties and overstepping his authority.1. Regardless of the CJEU order on the Disciplinary Chamber (C-791/19) and despite numerous calls from Polish judges, European judges, and even the Polish judge in the CJEU, the Disciplinary Chamber continues to exercise judicial function. Why does the Commission fail to submit an additional request to the CJEU seeking an order for payment of a fine?2. Despite the CJEU judgment on the independence of the Disciplinary Chamber (C-585/18, C-624/18 and C-625/18), the Disciplinary Chamber itself claims that the CJEU judgment is not binding on the domestic legal order. What measures have been taken by the Commission in response to this issue?3. Why is the Commission hesitating to launch infringement proceedings regarding the situation of judiciary bodies that lack independence, such as the National Council of the Judiciary, the Constitutional Tribunal and the Extraordinary Chamber of the Supreme Court?",/doceo/document/E-9-2020-007020-ASW_EN.html,E-007020/2020,138,commission
Occupational shortages and crossborder cooperation,Question for written answer E-007153/2011to the CommissionRule 117Vasilica Viorica Dăncilă (S&D),https://www.europarl.europa.eu/doceo/document/E-7-2011-007153_EN.html,12-07-2011,E-007153/2011,2009-2014,2011,8,romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2009-2014_2011_romania_group-of-the-progressive-alliance-of-socialists-and-democrats-in-the-european-parliament_8.html,165,E-007153_2011,"
Recent years have seen rising school dropout rates, with the young people concerned thus lacking the qualifications which would allow them suitable access to the labour market. 
At the same time, the coming years are likely to see employers in certain occupations finding difficulty in recruiting skilled labour.
What action will the Commission take to support Member States' efforts to implement multiannual programmes for training young people in occupations where shortages exist and developing specific abilities and social skills, with particular regard to crossborder activities of SMEs in neighbouring Member States, as also to the exchange of best practices so as to ensure the programmes' success?
Can the Commission specify to what extent it is possible to assist Member States in developing retraining programmes for the unemployed with a view to making good the shortfall in such occupations, for example by facilitating traineeships or apprenticeships in other Member States?",/doceo/document/E-7-2011-007153-ASW_EN.html,E-007153/2011,117,commission
